Ticker,QMV($),HQ Location,Sector
FBS.B,39933224.74,ON,Closed-End Funds
VNP,210855379.2,QC,Clean Technology
AW.UN,425204623.7,BC,Diversified Industries
AAB,14807014.84,ON,Financial Services
ABT,242420378.6,BC,Technology
ADN,292796280,BC,Forest Products & Paper
AEF.A,400487500,ON,
ACD,75323304,ON,Financial Services
ASP,29836610.3,ON,Life Sciences
AEU.UN,46116249.6,ON,Closed-End Funds
DRX,52659172.8,QC,Diversified Industries
AAV,1798451563,AB,Oil & Gas
AHY.UN,25939821.6,ON,Closed-End Funds
ARE,1076553468.7,ON,Diversified Industries
AEZ,53335441.75,QC,Life Sciences
AOI,862628269.9,BC,Oil & Gas
AFN,1025729398,MB,Diversified Industries
ACR.UN,292622643.8,ON,Real Estate
AGF.B,426278109.3,ON,Financial Services
AJX,65806747.22,AB,Technology
AEM,12434628828,ON,Mining
AGU,18707567406,AB,Mining
AGT,890129077.2,SK,Diversified Industries
AIM,1444923385.05,QC,Diversified Industries
AC,3682820250,QC,Diversified Industries
BOS,254969722.2,ON,Diversified Industries
AKT.A,142242940.36,AB,Diversified Industries
AGI,2283231424,ON,Mining
AD,815744479.7,AB,Financial Services
AF,112810015.5,ON,Diversified Industries
ADV,46907591.66,BC,Mining
AXR,161207648.8,BC,Mining
ALC,539989788.8,ON,Diversified Industries
AQN,3269779851,ON,Clean Technology
AQX.A,263666250,ON,
ATD.B,35352195454,QC,Diversified Industries
ABK.A,55233454.5,ON,Closed-End Funds
ALB,48774886.33,ON,Closed-End Funds
AP.UN,2871026223,ON,Real Estate
AMM,124978302.9,BC,Mining
ALA,6277097777.6,AB,Diversified Industries
AXY,287790691.5,BC,Clean Technology
ALS,549496092.7,NL,Mining
AIF,1149881616,ON,Diversified Industries
AYA,2841915269,QC,Technology
ACZ.UN,19097324.35,AB,Closed-End Funds
HOT.UN,471150361.6,BC,Real Estate
USA,116181434.8,ON,Mining
ARG,50657796.82,BC,Mining
ANX,12559965.06,ON,Mining
ADW.A,477966762.2,ON,Diversified Industries
